id_hc,status_ordem_obra,dt_ordem_obra,tipo_pendencia_obra,status_atividade_obra,dt_atividade_obra
A00002J2W|8003H000000LKRAAAI,COMPLETED,2022-08-02 08:11:59+00:00,TECNICA,,
A00003YL0|8003H000000NACVAA4,COMPLETED,2022-10-16 16:07:30+00:00,CLIENTE,,
A00003YFG|8003H000000NBKSAAG,COMPLETED,2022-10-18 10:51:57+00:00,,,
A00005SKM|8003H000000NXYPAAS,COMPLETED,2022-12-17 10:51:52+00:00,TECNICA,,
A00004QRU|132707,COMPLETED,2022-11-14 13:24:03+00:00,,,
A000033RX|8003H000000M8J9AAA,COMPLETED,2022-09-05 17:56:43+00:00,,,
A000030OP|8003H000000M6W8AAI,COMPLETED,2022-09-02 18:36:53+00:00,,,
A00006WUH|8003H000000OHTKAAS,CANCELLED,2023-02-11 21:58:16+00:00,CLIENTE,Em Tramitação,2023-02-14 13:48:44
A00002JAT|2253037452,COMPLETED,2022-08-13 20:32:46+00:00,,,
A00006UVK|8003H000000OGESAAC,CANCELLED,2023-02-10 10:58:47+00:00,CLIENTE,Em Tramitação,2023-02-13 10:00:40
A00006AT6|0394AXXEL,COMPLETED,2023-01-23 09:18:25+00:00,,,
A00004TW0|09035405,COMPLETED,2022-11-24 14:48:35+00:00,,,
A00003BKC|8003H000000MHFUAAE,COMPLETED,2022-09-15 16:02:52+00:00,,,
A00002H8H|8003H000000LPIBAAA,COMPLETED,2022-08-09 16:31:52+00:00,,,
A00003YG4|8003H000000NCDFAA4,COMPLETED,2022-10-18 15:36:23+00:00,,,
A00003OKM|23397,COMPLETED,2022-10-05 09:19:40+00:00,,,
A00002SJP|8003H000000LVTCAA2,COMPLETED,2022-07-10 20:20:05+00:00,CLIENTE,,
A00005TG8|8003H000000OBU4AAO,COMPLETED,2023-01-05 08:06:57+00:00,,,
A000049I7|8003H000000NHV4AAG,COMPLETED,2022-10-25 14:07:26+00:00,TECNICA,,
A0000306J|39087,COMPLETED,2022-09-02 16:48:18+00:00,,,
A00006TQ7|8003H000000OG4UAAC,CANCELLED,2023-02-09 15:53:32+00:00,CLIENTE,Em Tramitação,2023-11-02 11:33:31
A0000572O|8003H000000NSSIAAK,COMPLETED,2022-12-11 09:21:56+00:00,,,
A00004J2E|8003H000000NUNQAAO,COMPLETED,2022-11-10 10:50:43+00:00,,,
A0000609R|8003H000000OHGDAAW,CANCELLED,2023-01-11 13:19:23+00:00,CLIENTE,,
A00006GH5|8003H000000OVVXAAG,COMPLETED,2023-01-28 13:02:22+00:00,,Encerrado,2023-01-30 12:01:57
A00006WKL|8003H000000OJ0LAAC,COMPLETED,2023-02-13 15:20:31+00:00,,Encerrado,2023-02-14 11:43:03
A00003NIM|8003H000000MNBZAAU,CANCELLED,2022-09-22 20:15:48+00:00,CLIENTE,,
A00005SA0|8003H000000OAVGAA4,CANCELLED,2023-01-03 23:23:29+00:00,CLIENTE,,
A0000418T|77329201458,COMPLETED,2022-10-20 19:17:29+00:00,,,
A00003JEL|8003H000000MJVQAAU,COMPLETED,2022-09-19 11:06:22+00:00,CLIENTE,,
A00003M30|8003H000000MSD4AAE,CANCELLED,2022-09-28 17:19:57+00:00,CLIENTE,,
A00003N89|8003H000000MW0SAAU,COMPLETED,2022-10-03 15:44:49+00:00,CLIENTE,,
A00002GD8|8003H000000LFOVAAI,COMPLETED,2022-07-25 16:14:50+00:00,TECNICA,,
A00003XOJ|8003H000000N7OCAAS,COMPLETED,2022-10-13 12:34:07+00:00,,,
A00005OAE|8003H000000O4X6AAK,CANCELLED,2022-12-26 17:09:09+00:00,CLIENTE,,
A00004EG5|8003H000000NPWGAAG,COMPLETED,2022-11-05 11:43:14+00:00,,,
A00003CL4|8003H000000MLMXAA2,COMPLETED,2022-09-20 15:50:08+00:00,,,
A00003ATW|8003H000000MJDSAAM,COMPLETED,2022-09-17 20:00:43+00:00,,,
A000045HB|8003H000000MTJKAA2,COMPLETED,2022-09-29 13:30:22+00:00,,,
A00003BFS|8003H000000MGTOAA2,COMPLETED,2022-09-14 13:16:08+00:00,CLIENTE,,
A00006FA7|MARCELO12569,COMPLETED,2023-01-27 11:01:18+00:00,,Encerrado,2023-01-28 10:36:35
A00006W6U|8003H000000OFJNAAS,COMPLETED,2023-02-11 16:30:30+00:00,,Encerrado,2023-02-14 08:32:47
A00005OXJ|8003H000000O6XGAAS,COMPLETED,2022-12-29 13:16:14+00:00,,,
A00005MRD|8003H000000O56PAAC,CANCELLED,2022-12-27 11:21:54+00:00,CLIENTE,,
A00005W7V|3878,COMPLETED,2022-08-08 15:34:14+00:00,,,
A00003R7Q|8003H000000MBGNAAA,COMPLETED,2022-10-10 14:10:52+00:00,,,
A00004EH8|53151,COMPLETED,2022-11-04 14:41:14+00:00,,,
A000036OO|8003H000000MH03AAE,COMPLETED,2022-09-14 21:02:24+00:00,,,
A00004O0L|8003H000000NZ4ZAAW,CANCELLED,2022-11-16 17:51:04+00:00,CLIENTE,,
A000031KU|46606,COMPLETED,2022-09-10 13:19:17+00:00,,,
A000035IN|4453284331,COMPLETED,2022-09-08 08:28:03+00:00,,,
A00006NRW|8003H000000OBMEAAK,CANCELLED,2023-02-03 23:54:42+00:00,CLIENTE,Em Tramitação,2023-06-02 15:04:35
A00006J9F|8003H000000OWMIAAW,COMPLETED,2023-01-30 09:48:08+00:00,,Encerrado,2023-01-31 08:53:59
A000063JI|8003H000000OKJAAAW,COMPLETED,2023-01-14 17:52:13+00:00,,,
A000040G7|8003H000000NAQWAAO,CANCELLED,2022-10-17 08:10:51+00:00,CLIENTE,,
A00002BC6|8003H000000LJH8AAA,COMPLETED,2022-08-01 11:00:22+00:00,,,
A00002XJO|8003H000000M5H0AAA,COMPLETED,2022-09-01 19:47:55+00:00,,,
A000042QI|82424203113,COMPLETED,2022-10-21 14:12:16+00:00,,,
A00004T7S|8003H000000NCWWAA0,CANCELLED,2022-11-21 15:18:29+00:00,CLIENTE,,
A00006UVQ|8003H000000OGJIAAC,COMPLETED,2023-02-10 12:07:30+00:00,,Encerrado,2023-02-13 10:04:41
A00005QK0|8003H000000O3SRAAC,CANCELLED,2022-12-26 09:54:43+00:00,CLIENTE,,
A00006WD7|8003H000000OIE6AAC,COMPLETED,2023-02-13 11:36:35+00:00,,Encerrado,2023-02-14 10:21:29
A00004U81|0283AXXEL,COMPLETED,2022-11-25 15:47:19+00:00,,,
A00003KD9|8003H000000MVESAAM,COMPLETED,2022-10-02 16:58:11+00:00,,,
A00003CXL|8003H000000MGFKAAU,COMPLETED,2022-09-14 15:44:24+00:00,,,
A00004S60|8003H000000NDZMAA0,COMPLETED,2022-11-22 15:07:49+00:00,,,
A00005DCM|8003H000000NYFVAA0,COMPLETED,2022-12-17 18:13:49+00:00,,,
A00002HLX|8003H000000LR6YAAA,COMPLETED,2022-08-11 13:19:06+00:00,,,
A00005C9I|8003H000000NW5IAAC,CANCELLED,2022-12-14 22:18:29+00:00,CLIENTE,,
A00003X58|8003H000000MAEQAAA,COMPLETED,2022-10-08 20:48:22+00:00,CLIENTE,,
A00006SHK|8003H000000OGGLAAK,COMPLETED,2023-02-09 18:26:29+00:00,,Encerrado,2023-10-02 09:56:11
A00006HUP|130144927476596,COMPLETED,2023-01-30 15:54:36+00:00,,Encerrado,2023-01-31 13:22:34
A00005OM4|8003H000000O3FOAAS,CANCELLED,2022-12-25 18:38:06+00:00,CLIENTE,,
A00002TT9|2996455022,COMPLETED,2022-08-24 16:03:14+00:00,,,
A00005XYV|8003H000000OFRYAAW,COMPLETED,2023-01-09 18:13:58+00:00,,,
A0000380W|8003H000000MFKSAAE,COMPLETED,2022-09-13 16:44:52+00:00,,,
A00005QHS|8003H000000O7WNAAC,CANCELLED,2022-12-30 19:32:28+00:00,CLIENTE,,
A0000657C|0392AXXEL,COMPLETED,2023-01-17 09:50:56+00:00,,,
A00004FBJ|8003H000000NRM6AAO,COMPLETED,2022-11-07 14:35:22+00:00,,,
A00005KA4|8003H000000O1RRAAC,CANCELLED,2022-12-22 09:43:06+00:00,CLIENTE,,
A00004GJI|8003H000000NS8JAAG,COMPLETED,2022-11-08 09:59:17+00:00,,,
A00003IN4|8003H000000MQU5AAM,CANCELLED,2022-09-26 17:46:33+00:00,CLIENTE,,
A00005D8O|8003H000000NX8EAAS,COMPLETED,2022-12-16 08:40:28+00:00,,,
A00005NW7|8003H000000O6CFAA0,CANCELLED,2022-12-28 13:47:16+00:00,CLIENTE,,
A000065KD|8003H000000OCSGAAG,CANCELLED,2023-01-06 12:34:59+00:00,CLIENTE,,
A000069KL|8003H000000OQVZAA4,COMPLETED,2023-01-21 19:50:03+00:00,,,
A00003YPE|8003H000000N9KJAA0,COMPLETED,2022-10-14 22:31:09+00:00,,,
A000063XK|1775,COMPLETED,2023-01-16 15:41:37+00:00,,,
A00003VG8|8003H000000MWI2AAM,CANCELLED,2022-10-03 19:20:54+00:00,CLIENTE,,
A00004IDE|8003H000000NTHDAA4,COMPLETED,2022-11-09 09:42:06+00:00,,,
A00006WRX|8003H000000OJ8KAAC,COMPLETED,2023-02-13 16:45:07+00:00,,Encerrado,2023-02-14 13:18:20
A00005LR6|8003H000000O59AAAS,COMPLETED,2022-12-27 11:36:39+00:00,,,
A00003B5E|8003H000000M6VEAAI,COMPLETED,2022-09-02 18:23:28+00:00,,,
A00003R1Q|8003H000000MYW6AAM,COMPLETED,2022-10-05 22:02:06+00:00,,,
A00003JZQ|63465,COMPLETED,2022-09-29 19:58:46+00:00,,,
A00004OPA|8003H000000NAIDAA0,COMPLETED,2022-11-18 09:18:35+00:00,,,
