id_hc,status_ordem_obra,dt_ordem_obra,tipo_pendencia_obra,status_atividade_obra,dt_atividade_obra
A0000581H|0297AXXEL,COMPLETED,2022-12-12 10:08:11+00:00,,,
A00006UEQ|8003H000000OQTXAAW,CANCELLED,2023-01-22 19:51:25+00:00,CLIENTE,Em Tramitação,2023-01-23 10:17:30
A000059VL|8003H000000NTC0AAC,CANCELLED,2022-12-12 17:49:01+00:00,CLIENTE,,
A000061WF|8003H000000OJ3IAAW,CANCELLED,2023-01-12 17:07:43+00:00,CLIENTE,,
A00004PGJ|8003H000000NAOZAAK,COMPLETED,2022-11-18 10:47:11+00:00,,,
A00006UUZ|8003H000000OIS7AAO,COMPLETED,2023-01-14 10:10:44+00:00,TECNICA,Encerrado,2023-01-28 16:52:08
A0000788I|8003H000000OS8FAAS||00527883,COMPLETED,2023-02-24 18:40:00+00:00,,Encerrado,2023-02-25 09:18:46
A000078XY|8003H000000ORVNAA0||00526787,COMPLETED,2023-02-24 09:15:24+00:00,,Encerrado,2023-02-25 23:04:55
A0000760W|8003H000000OL8SAAS||00515054,COMPLETED,2023-02-20 09:29:25+00:00,,Encerrado,2023-02-23 13:50:14
A000073SY|07142691905M||72672,COMPLETED,2023-02-17 13:17:23+00:00,,Encerrado,2023-02-21 16:12:43
1751597|OI#00484275,COMPLETED,2023-01-25 19:38:54+00:00,,,
A00004H34|8003H000000NKRWAA4,CANCELLED,2022-10-28 12:16:24+00:00,CLIENTE,,
A00005LYQ|8003H000000NXXXAAK,CANCELLED,2022-12-16 15:42:21+00:00,TECNICA,,
A000070RX|8003H000000OKWTAA0,COMPLETED,2023-02-14 21:06:09+00:00,,Encerrado,2023-02-17 09:54:16
A00006Z81|8003H000000OKB1AAK,CANCELLED,2023-02-14 15:50:28+00:00,CLIENTE,Em Tramitação,2023-02-16 09:26:16
A00004D48|8003H000000NFPXAA4,COMPLETED,2022-11-01 13:17:20+00:00,,,
A00003D81|508761,COMPLETED,2022-09-16 19:08:34+00:00,,,
A00003U3S|691892,COMPLETED,2022-10-13 11:00:15+00:00,,,
A000076ZB|8003H000000OH5PAAS||00508605,COMPLETED,2023-02-10 17:25:28+00:00,TECNICA,Encerrado,2023-02-24 09:43:16
A0000747D|8003H000000OOYXAAK||00521167,COMPLETED,2023-02-20 15:30:59+00:00,,Encerrado,2023-02-22 10:23:12
A000077J5|EQ0000000015504||OS15504-1,COMPLETED,2023-02-23 15:30:24+00:00,,Encerrado,2023-02-24 14:31:38
A000075LH|8003H000000OPEEAAK||00522181,COMPLETED,2023-02-21 16:11:32+00:00,,Encerrado,2023-02-23 10:45:02
A00004914|8003H000000NK48AAG,CANCELLED,2022-10-27 18:01:44+00:00,CLIENTE,,
A000071V5|8003H000000OM6MAAC,COMPLETED,2023-02-16 14:56:35+00:00,,Encerrado,2023-02-18 11:56:27
A00006UJI|8003H000000OWAXAAO,CANCELLED,2023-01-28 20:14:05+00:00,CLIENTE,Em Tramitação,2023-01-30 14:23:28
A000064PO|8003H000000OJMTAAO,CANCELLED,2023-01-13 00:16:09+00:00,CLIENTE,,
A000057RU|202212121155533,COMPLETED,2022-12-12 16:47:09+00:00,,,
A00006Z95|EQ0000000014235,COMPLETED,2023-02-15 10:54:22+00:00,,Encerrado,2023-02-16 09:44:33
A00006V16|8003H000000OQJSAAW,COMPLETED,2023-02-12 15:40:40+00:00,,Encerrado,2023-02-13 11:23:36
A000076CB|2436||25144729779,COMPLETED,2023-02-23 10:02:54+00:00,,Encerrado,2023-02-23 16:16:37
A000075N1|8003H000000ONXIAAS||00520264,COMPLETED,2023-02-19 13:09:04+00:00,CLIENTE,Encerrado,2023-02-23 10:59:11
A000072RK|8003H000000OKS2AAK||00514037,CANCELLED,2023-02-14 19:36:30+00:00,CLIENTE,Em Tramitação,2023-02-20 11:57:30
A000065S1|1820,COMPLETED,2023-01-17 17:03:56+00:00,,,
A00005VZT|8003H000000OBKJAA4,CANCELLED,2023-01-04 20:07:51+00:00,CLIENTE,,
A00006I1K|1879,COMPLETED,2023-01-18 17:15:53+00:00,,,
A000070LO|EQ0000000014196,COMPLETED,2023-02-15 09:07:50+00:00,,Encerrado,2023-02-17 10:42:50
A000062MZ|1752,COMPLETED,2023-01-14 12:35:32+00:00,,,
A000078ED|8003H000000NPREAAK||00412764,COMPLETED,2022-12-14 17:10:47+00:00,,Encerrado,2023-02-25 11:13:03
A0000774J|8003H000000OQMCAAC||00525477,COMPLETED,2023-02-23 13:47:34+00:00,,Encerrado,2023-02-24 10:51:43
1831130|OI#00500420,COMPLETED,2023-02-06 11:06:06+00:00,,Encerrado,2023-10-02 17:15:26
2509017|OI#00428461,COMPLETED,2022-12-18 19:23:22+00:00,,,
A000078DZ|8003H000000ORTFAAS||00527480,COMPLETED,2023-02-24 14:49:55+00:00,,Encerrado,2023-02-25 11:07:38
A000070O0|EQ0000000014360,COMPLETED,2023-02-15 16:47:21+00:00,TECNICA,Encerrado,2023-02-17 11:25:28
A00006W3K|09091829,COMPLETED,2023-02-09 08:44:12+00:00,,Encerrado,2023-02-13 21:36:49
A00005RDY|8003H000000O9NLAA0,CANCELLED,2023-01-02 19:52:52+00:00,CLIENTE,,
A000047A6|8003H000000NJOYAAG,COMPLETED,2022-10-27 14:00:32+00:00,,,
A00007141|8003H000000OVQKAAO,COMPLETED,2023-02-15 12:25:48+00:00,,Encerrado,2023-02-17 14:45:12
A00006X4M|8003H000000OVI7AAO,COMPLETED,2023-02-12 16:47:14+00:00,,Encerrado,2023-02-14 15:52:42
A000059A0|356111,COMPLETED,2022-12-13 17:51:47+00:00,,,
A00003VHZ|8003H000000MYCUAAM,CANCELLED,2022-10-05 16:36:38+00:00,CLIENTE,,
A000076ZE|8003H000000OAP3AAK||00496408,COMPLETED,2023-02-02 21:10:36+00:00,,Encerrado,2023-02-24 09:43:47
A000078BG|TESTE37PARCIAL||74358,COMPLETED,2023-02-23 10:33:41+00:00,,Encerrado,2023-02-25 10:22:15
1956291|OI#00528563,COMPLETED,2023-02-25 13:06:24+00:00,,Encerrado,2023-02-27 09:13:16
A000078JD|8003H000000OR1IAAS||00525881,COMPLETED,2023-02-23 16:40:05+00:00,,Encerrado,2023-02-25 12:55:32
A000078X8|8003H000000OQFMAAS||00525172,COMPLETED,2023-02-23 12:02:36+00:00,,Encerrado,2023-02-25 21:08:37
A00006Q99|8003H000000OBTPAAK||00498280,COMPLETED,2023-02-17 15:32:24+00:00,,Encerrado,2023-02-22 14:33:22
A00006TIJ|8003H000000OEAZAAS,COMPLETED,2023-02-08 08:39:25+00:00,TECNICA,Encerrado,2023-11-02 08:36:43
A00004IJJ|0268AXXEL,COMPLETED,2022-11-10 17:54:57+00:00,,,
A00004AKP|8003H000000NIAWAAW,CANCELLED,2022-10-26 10:09:01+00:00,CLIENTE,,
A00006UVG|8003H000000OIORAAG,COMPLETED,2023-01-14 15:15:19+00:00,TECNICA,Encerrado,2023-01-26 11:03:27
